CICLO;CorsoTIPO;Isc_M;Isc_F;Isc_Ms;Isc_Fs;FonteDati
36;DOTTORATO DI RICERCA;6185;5523;1022;840;Elaborazione su dati Anagrafe Nazionale Studenti (2/2022)
35;DOTTORATO DI RICERCA;5975;5395;1054;790;Elaborazione su dati Anagrafe Nazionale Studenti (2/2022)
34;DOTTORATO DI RICERCA;5451;5175;987;806;Elaborazione su dati Anagrafe Nazionale Studenti (2/2022)
33;DOTTORATO DI RICERCA;5308;5072;1034;794;Elaborazione su dati Anagrafe Nazionale Studenti (2/2022)
32;DOTTORATO DI RICERCA;4860;4871;861;666;Elaborazione su dati Anagrafe Nazionale Studenti (2/2022)
31;DOTTORATO DI RICERCA;4603;4709;804;609;Elaborazione su dati Anagrafe Nazionale Studenti (2/2022)
30;DOTTORATO DI RICERCA;4876;4817;937;565;Indagine sull'Istruzione Universitaria
29;DOTTORATO DI RICERCA;5534;5807;874;661;Indagine sull'Istruzione Universitaria
28;DOTTORATO DI RICERCA;5777;5948;840;713;Indagine sull'Istruzione Universitaria
27;DOTTORATO DI RICERCA;5805;5975;944;610;Indagine sull'Istruzione Universitaria
26;DOTTORATO DI RICERCA;5860;6282;831;591;Indagine sull'Istruzione Universitaria
25;DOTTORATO DI RICERCA;6483;6813;884;609;Indagine sull'Istruzione Universitaria
24;DOTTORATO DI RICERCA;6798;7431;690;521;Indagine sull'Istruzione Universitaria
23;DOTTORATO DI RICERCA;6609;7281;669;530;Indagine sull'Istruzione Universitaria
22;DOTTORATO DI RICERCA;6546;7182;543;442;Indagine sull'Istruzione Universitaria
21;DOTTORATO DI RICERCA;6819;7243;435;353;Indagine sull'Istruzione Universitaria
20;DOTTORATO DI RICERCA;6507;6778;400;311;Indagine sull'Istruzione Universitaria
19;DOTTORATO DI RICERCA;6128;6391;320;242;Indagine sull'Istruzione Universitaria
18;DOTTORATO DI RICERCA;5924;5946;267;201;Indagine sull'Istruzione Universitaria
17;DOTTORATO DI RICERCA;4889;4995;201;120;Indagine sull'Istruzione Universitaria
16;DOTTORATO DI RICERCA;4328;4511;134;97;Indagine sull'Istruzione Universitaria
15;DOTTORATO DI RICERCA;3646;3786;99;61;Indagine sull'Istruzione Universitaria
14;DOTTORATO DI RICERCA;2490;2375;108;48;Indagine sull'Istruzione Universitaria
