AnnoA;CorsoTIPO;Isc_M;Isc_F;Isc_Ms;Isc_Fs;FonteDati
2020/2021;DOTTORATO DI RICERCA;16727;15460;2824;2305;Elaborazione su dati Anagrafe Nazionale Studenti (agosto 2021)
2019/2020;DOTTORATO DI RICERCA;16183;15350;2914;2342;Elaborazione su dati Anagrafe Nazionale Studenti (agosto 2021)
2018/2019;DOTTORATO DI RICERCA;15112;14711;2748;2199;Elaborazione su dati Anagrafe Nazionale Studenti (agosto 2021)
2017/2018;DOTTORATO DI RICERCA;14306;14363;2617;2030;Elaborazione su dati Anagrafe Nazionale Studenti (agosto 2021)
2016/2017;DOTTORATO DI RICERCA;13856;14134;2402;1784;Elaborazione su dati Anagrafe Nazionale Studenti (agosto 2021)
2015/2016;DOTTORATO DI RICERCA;14788;15366;2458;1837;Elaborazione su dati Anagrafe Nazionale Studenti (agosto 2021)
2014/2015;DOTTORATO DI RICERCA;16089;16682;2478;1868;Indagine sull'Istruzione Universitaria
2013/2014;DOTTORATO DI RICERCA;16281;17227;2385;1877;Indagine sull'Istruzione Universitaria
2012/2013;DOTTORATO DI RICERCA;16912;18009;2467;1885;Indagine sull'Istruzione Universitaria
2011/2012;DOTTORATO DI RICERCA;16821;18056;2322;1670;Indagine sull'Istruzione Universitaria
2010/2011;DOTTORATO DI RICERCA;17317;19075;2140;1678;Indagine sull'Istruzione Universitaria
2009/2010;DOTTORATO DI RICERCA;18156;20188;1980;1592;Indagine sull'Istruzione Universitaria
2008/2009;DOTTORATO DI RICERCA;18547;20734;1778;1436;Indagine sull'Istruzione Universitaria
2007/2008;DOTTORATO DI RICERCA;18578;20660;1503;1267;Indagine sull'Istruzione Universitaria
2006/2007;DOTTORATO DI RICERCA;19180;20941;1312;1065;Indagine sull'Istruzione Universitaria
2005/2006;DOTTORATO DI RICERCA;18488;19768;1044;879;Indagine sull'Istruzione Universitaria
2004/2005;DOTTORATO DI RICERCA;18309;19211;887;721;Indagine sull'Istruzione Universitaria
2003/2004;DOTTORATO DI RICERCA;17339;18047;793;562;Indagine sull'Istruzione Universitaria
2002/2003;DOTTORATO DI RICERCA;14693;15252;529;404;Indagine sull'Istruzione Universitaria
2001/2002;DOTTORATO DI RICERCA;12751;13553;;;Indagine sull'Istruzione Universitaria
2000/2001;DOTTORATO DI RICERCA;10340;10788;;;Indagine sull'Istruzione Universitaria
